PositionType,X,Y,Z
SP, 8, 0, 0
SP, 4, 6.93, 0
SP, -4, 6.93, 0
SP, -8, 0, 0
SP, -4, -6.93, 0
SP, 4, -6.93, 0
DP, 5, 0, 10
DP, 2.5, 4.33, 10
DP, -2.5, 4.33, 10
DP, -5, 0, 10
DP, -2.5, -4.33, 10
DP, 2.5, -4.33, 10
